Product_Title,Price,Shop_Name,Category,Availability,G-Price
ASUS VP229HE 21.5" FULL HD FREESYNC EYE CARE MONITOR,16000,STARTECH,Monitor,In Stock,16000
ASUS VA229HR 21.5" IPS EYE CARE MONITOR,16200,STARTECH,Monitor,In Stock,16200
HP M22F 22" FHD IPS MONITOR,16700,STARTECH,Monitor,In Stock,16700
ASUS VZ229HE EYE CARE FULL HD IPS 21.5" MONITOR,16800,STARTECH,Monitor,In Stock,16800
XIAOMI REDMI RMMNT27NF 27" FHD IPS MONITOR,17800,STARTECH,Monitor,In Stock,17800
VIEWSONIC VX2418-P-MHD 24-INCH 165HZ FULL HD GAMING MONITOR,26300,TECHLAND,Monitor,In Stock,26300
SAMSUNG ODYSSEY G9 49 INCH 32:9 240HZ CURVED HDR NVIDIA G-SYNC QLED GAMING MONITOR,175000,TECHLAND,Monitor,In Stock,175000
GIGABYTE M27Q 27 INCH KVM FREESYNC 170HZ QHD IPS GAMING MONITOR,42500,TECHLAND,Monitor,In Stock,42500
GIGABYTE G24F 23.8 INCH FULL HD 165HZ GAMING MONITOR,25500,TECHLAND,Monitor,In Stock,25500
LG 22MP400-B 22 INCH FULL HD VA AMD FREESYNC MONITOR,13500,TECHLAND,Monitor,In Stock,13500
ASUS TUF GAMING VG249Q 24 INCH 144HZ FREESYNC 1MS IPS MONITOR,30999,TECHLAND,Monitor,In Stock,30999
ASUS TUF GAMING VG247Q1A 23.8 INCH 16:9 165 HZ GAMING MONITOR,28499,TECHLAND,Monitor,In Stock,28499
SAMSUNG LF22T350 22-INCH FLAT IPS BORDER-LESS MONITOR ,15500,TECHLAND,Monitor,In Stock,15500
BENQ EX3501R 35 INCH CURVED SRGB 2K MONITOR,81900,TECHLAND,Monitor,In Stock,81900
BENQ ESSENTIAL GW2485TC 23.8 INCH FULL HD EYE-CARE STYLISH IPS MONITOR,29500,TECHLAND,Monitor,In Stock,29500
ASUS VP249QGR GAMING 24 INCH 144HZ FREESYNC FHD IPS MONITOR,26300,TECHLAND,Monitor,In Stock,26300
AOC GAMING G2490VX 23.8" FHD 144HZ GAMING MONITOR,21800,TECHLAND,Monitor,In Stock,21800
ASUS ROG SWIFT PG278QE 27 INCH 165HZ 2K WQHD GAMING MONITOR,60500,TECHLAND,Monitor,In Stock,60500
LG 27UP850-W 27 INCH 4K FREESYNC UHD HDR IPS MONITOR,64800,TECHLAND,Monitor,In Stock,64800
VIEWSONIC VX3418-2KPC 34 INCH WQHD 144HZ ADAPTIVE-SYNC EYE CARE CURVED GAMING MONITOR,57500,TECHLAND,Monitor,In Stock,57500
VIEWSONIC VX2480-SHD 24 INCH QHD IPS MONITOR,25500,TECHLAND,Monitor,In Stock,25500
AOC E970SWHEN 18.5 INCH 1366 X768 RESOLUTION 5MS LED TN MONITOR(HDMI VGA VESA),9200,RYANS,Monitor,In Stock,9200
HP V193B 18.5 INCH LED MONITOR,9500,RYANS,Monitor,Out of Stock,9500
LENOVO D19-10 18.5 INCH HD HDMI VGA MONITOR #61E0KAR6WW/65F9KCC6SA,10200,RYANS,Monitor,In Stock,10200
HP V19 18.5 INCH HD LED MONITOR (VGA),10400,RYANS,Monitor,In Stock,10400
HP P19V G4 18.5 INCH HD VGA MONITOR,10500,RYANS,Monitor,In Stock,10500
DELL D1918H 18.5 INCH HD LED VGA HDMI MONITOR,10900,RYANS,Monitor,In Stock,10900
LENOVO D20-20 19.5 INCH HDMI VGA WXGA+ WLED IPS MONITOR #66C4KAC1MY,11500,RYANS,Monitor,In Stock,11500
HP P204V 19.5 INCH HD+ LED HDMI VGA MONITOR #5RD66AA,11500,RYANS,Monitor,In Stock,11500
HP V22V 21.5 INCH FHD VA HDMI VGA BLACK MONITOR #450M4AA,13500,RYANS,Monitor,In Stock,13500
HIKVISION DS-D5022FN-C 21.5 INCH FHD HDMI VGA E-LED BACKLIGHT MONITOR,13500,RYANS,Monitor,In Stock,13500
AOC 22B2HN 21.5 INCH FHD ULTRA SLIM LED HDMI VGA MONITOR,13900,RYANS,Monitor,In Stock,13900
ACER HA0 SERIES HA220Q 21.5 INCH FHD IPS WHITE MONITOR,14000,RYANS,Monitor,In Stock,14000
DELL SE2222H 22 INCH FULL HD LED VGA HDMI MONITOR,14000,RYANS,Monitor,In Stock,14000
VIEWSONIC VA2215-H 22 INCH FHD VA HDMI VGA MONITOR,14000,RYANS,Monitor,In Stock,14000
SAMSUNG S22F350FHM 22 INCH FHD HDMI VGA MONITOR #LS22F350FHMXZN/LS22F350FHMXUE,14000,RYANS,Monitor,In Stock,14000
LENOVO L22I-30 21.5 INCH FHD WLED HDMI VGA MONITOR #66CAKAC1MY,15800,RYANS,Monitor,In Stock,15800
VIEWSONIC VX2276-SH 21.5 INCH FULL HD IPS LED HDMI VGA MONITOR #VX2276-SH,15900,RYANS,Monitor,In Stock,15900
ASUS VP229HE 21.5 INCH FHD HDMI VGA MONITOR,16000,RYANS,Monitor,In Stock,16000
SAMSUNG T35 22 INCH FHD IPS LED FLAT HDMI VGA PROFESSIONAL MONITOR,16000,RYANS,Monitor,In Stock,16000
ASUS VA229HR 21.5 INCH FULL HD IPS DISPLAY HDMI VGA MONITOR,16200,RYANS,Monitor,In Stock,16200
AOC 22V2Q 21.5 INCH AMD FREESYNC 75HZ LED MONITOR (WITH HDMI CABLE),15500,Skyland,Monitor,Out of stock,15500
MSI OPTIX G241 23.8 INCH 144HZ 1MS IPS FHD GAMING MONITOR,28500,Skyland,Monitor,In Stock,28500
WALTON WD215V05 21.45 INCH FULL HD LED FRAMELESS MONITOR,12500,Skyland,Monitor,In Stock,12500
XIAOMI REDMI RMMNT27NF 27″ FHD IPS MONITOR,21000,Skyland,Monitor,In Stock,21000
ESONIC 22ELMW 22-INCH LED HD MONITOR,8000,Skyland,Monitor,In Stock,8000
ASUS PROART DISPLAY PA278QV 27″ 2K IPS MONITOR,54000,Skyland,Monitor,In Stock,54000
DELL D1918H 18.5 INCH LED MONITOR,11000,Skyland,Monitor,In Stock,11000
HP ELITEDISPLAY E233 23 INCH FHD IPS MONITOR,16700,Skyland,Monitor,Out of stock,16700
VIEWSONIC VX2276-SHD 22 INCH ENTERTAINMENT IPS MONITOR,16500,Skyland,Monitor,In Stock,16500
GIGABYTE M28U 4K 144HZ FREESYNC IPS GAMING MONITOR,68000,Skyland,Monitor,In Stock,68000
BENQ GW2280 22″ EYE-CARE STYLISH FULL HD LED MONITOR,15500,Skyland,Monitor,In Stock,15500
LG 22MN430M-B 22″ FULL HD IPS MONITOR,14700,Skyland,Monitor,In Stock,14700
VIEWSONIC VA1903A 18.5 INCH LED DISPLAY,6200,Skyland,Monitor,Out of stock,6200
ASUS TUF VG259Q 25 INCH 144HZ ADAPTIVE-SYNC IPS GAMING MONITOR,35000,Skyland,Monitor,In Stock,35000
WALTON WD185T01 18.5 INCH LED MONITOR,5300,Skyland,Monitor,Out of stock,5300
DELL E2316H 23″ WIDESCREEN SCREEN LED-LIT MONITOR,11400,Skyland,Monitor,Out of stock,11400
ASUS TUF GAMING VG289Q1A 4K GAMING MONITOR WITH 28 INCH UHD 4K (3840X2160),Call For Price,COMPUTER VILLAGE,Monitor,In Stock,null
ASUS VP249QGR FRAMELESS GAMING MONITOR – 23.8 INCH,24000,COMPUTER VILLAGE,Monitor,In Stock,24000
ASUS PA328QV PROART DISPLAY WITH PROFESSIONAL MONITOR – 31.5-INCH,66000,COMPUTER VILLAGE,Monitor,In Stock,66000
ASUS VZ24EHE EYE CARE MONITOR – 23.8 INCH FULL HD (1920 X 1080),20000,COMPUTER VILLAGE,Monitor,In Stock,20000
