Product_Title,Price,Shop_Name,Category,Availability,G-Price
A4TECH KK-3330 MULTIMEDIA USB KEYBOARD MOUSE COMBO,850,COMPUTER VILLAGE,Keyboard,In Stock,850
CORSAIR K68 RGB MECHANICAL CHERRY MX RED GAMING KEYBOARD,8490,TECHLAND,Keyboard,In Stock,8490
ASUS TUF GAMING K1 RGB KEYBOARD,4000,TECHLAND,Keyboard,In Stock,4000
AULA F2063 MECHANICAL MULTIMEDIA RGB GAMING KEYBOARD ,2650,TECHLAND,Keyboard,In Stock,2650
LOGITECH G512 CARBON RGB MECHANICAL GAMING KEYBOARD,10399,TECHLAND,Keyboard,In Stock,10399
AULA F2099 RGB MECHANICAL GAMING KEYBOARD,3200,TECHLAND,Keyboard,In Stock,3200
AULA F2088 GREY MECHANICAL GAMING KEYBOARD,2900,TECHLAND,Keyboard,In Stock,2900
DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (BLUE SWITCH),2199,TECHLAND,Keyboard,In Stock,2199
DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (BROWN SWITCH),2199,TECHLAND,Keyboard,In Stock,2199
DAREU EK87 MECHANICAL GAMING KEYBOARD - WHITE (RED SWITCH),2099,TECHLAND,Keyboard,In Stock,2099
FANTECH K612 SOLDIER ILLUMINATED RGB BACKLIGHT GAMING KEYBOARD 104 KEYS BEST SELLING BANGLADESH,2000,TECHLAND,Keyboard,In Stock,2000
MICROSOFT SURFACE PRO TYPE COVER KEYBOARD (BLACK),13000,TECHLAND,Keyboard,In Stock,13000
HAVIT GAMENOTE KB500L MULTI-FUNCTION LED BACKLIT USB GAMING KEYBOARD (BLACK),1100,TECHLAND,Keyboard,In Stock,1100
RAPOO E2710 WIRELESS MULTIMEDIA TOUCH KEYBOARD,3520,TECHLAND,Keyboard,In Stock,3520
XTRIKE MK-900 MULTIMEDIA USB GAMING KEYBOARD AND MOUSE WITH MOUSEPAD COMBO,1600,TECHLAND,Keyboard,In Stock,1600
XTRIKE ME MK-880KIT MULTIMEDIA USB GAMING KEYBOARD AND MOUSE COMBO,1850,TECHLAND,Keyboard,In Stock,1850
WALTON WSMKC005RN WIRELESS COMBO,800,TECHLAND,Keyboard,In Stock,800
A4TECH KRS-85 LASER ENGRAVING USB KEYBOARD WITH BANGLA,750,STARTECH,Keyboard,In Stock,750
