Product_Title,Price,Shop_Name,Category,Availability,G-Price
ASUS TUF GAMING GEFORCE GTX 1650 SUPER OC 4GB GRAPHICS CARD,43000,Skyland,GPU,In Stock,43000.0
GIGABYTE GEFORCE GTX 1660 SUPER OC 6GB GRAPHICS CARD,52000,Skyland,GPU,In Stock,52000.0
ZOTAC GAMING GEFORCE RTX 3060 TI TWIN EDGE OC 8GB GRAPHICS CARD,76900,Skyland,GPU,In Stock,76900.0
GIGABYTE GEFORCE GTX 1650 OC 4GB GDDR5 GRAPHICS CARD,26000,Skyland,GPU,In Stock,26000.0
COLORFUL GEFORCE GT1030 V3 2GB GRAPHICS CARD,7300,Skyland,GPU,In Stock,7300.0
MSI GEFORCE RTX 3050 GAMING X 8GB GDDR6 GRAPHICS CARD,50800,Skyland,GPU,In Stock,50800.0
PNY GEFORCE RTX 3060 12GB UPRISING DUAL FAN GRAPHICS CARD,55000,Skyland,GPU,In Stock,55000.0
ZOTAC GAMING GEFORCE RTX 3050 TWIN EDGE OC GDDR6 GRAPHICS CARD,48000,Skyland,GPU,In Stock,48000.0
COLORFUL IGAME GEFORCE RTX 3060 ULTRA W OC 12G L-V GRAPHICS CARD,65000,Skyland,GPU,In Stock,65000.0
MSI GEFORCE RTX 3060 TI GAMING X 8GB LHR GDDR6 GRAPHICS CARD,87800,Skyland,GPU,In Stock,87800.0
COLORFUL GEFORCE GTX 1660 SUPER NB 6G V2-V GRAPHICS CARD,40000,Skyland,GPU,In Stock,40000.0
MSI GEFORCE RTX 3060 VENTUS 2X 12GB OC GDDR6 GRAPHICS CARD,61000,Skyland,GPU,In Stock,61000.0
GIGABYTE GEFORCE RTX 3060 TI GAMING OC 8GB GRAPHICS CARD,90000,COMPUTER VILLAGE,GPU,In Stock,90000.0
MSI RADEON RX 6600 XT MECH 2X 8G OCV1 GDDR6 GRAPHICS CARD,65000,COMPUTER VILLAGE,GPU,In Stock,65000.0
MSI RADEON RX 6900 XT GAMING Z TRIO 16GB GDDR6 GRAPHICS CARD,205000,COMPUTER VILLAGE,GPU,In Stock,205000.0
MSI GEFORCE GTX 1660 SUPER VENTUS XS OC 6GB GRAPHICS CARD,65000,COMPUTER VILLAGE,GPU,In Stock,65000.0
MSI GEFORCE GTX 1660 SUPER VENTUS XS 6GB GDDR6 GRAPHICS CARD,60000,COMPUTER VILLAGE,GPU,In Stock,60000.0
MSI GEFORCE GTX 1660 TI VENTUS XS 6G OC GRAPHICS CARD,61500,COMPUTER VILLAGE,GPU,In Stock,61500.0
MSI GEFORCE GTX 1660 SUPER GAMING 6GB GDDR6 GRAPHICS CARD,59000,COMPUTER VILLAGE,GPU,In Stock,59000.0
MSI GEFORCE RTX 3060 VENTUS 2X OC 12GB GRAPHICS CARD,47900,COMPUTER VILLAGE,GPU,In Stock,47900.0
MSI GEFORCE RTX 3060 GAMING X 12GB GDDR6 GRAPHICS CARD,52900,COMPUTER VILLAGE,GPU,In Stock,52900.0
MSI GEFORCE RTX 3060 TI VENTUS 2X 8GB OC V1 LHR GDDR6 GRAPHICS CARD,59900,COMPUTER VILLAGE,GPU,In Stock,59900.0
